iter	Logloss
0	0.6537414616
1	0.6316758801
2	0.6052936268
3	0.5908829393
4	0.5767247366
5	0.5617136937
6	0.5539948134
7	0.5475809208
8	0.5423373046
9	0.5382475113
10	0.533697134
11	0.529923154
12	0.5258689045
13	0.523077868
14	0.5199578271
15	0.5172622309
16	0.5151351629
17	0.5119202806
18	0.5100947549
19	0.5079886421
20	0.5058176251
21	0.5041429525
22	0.5027964886
23	0.5016402495
24	0.5004896736
25	0.4985811044
26	0.4968300131
27	0.4953754579
28	0.4941985965
29	0.492977893
30	0.4920318324
31	0.490709119
32	0.4896170794
33	0.4884241702
34	0.4874064495
35	0.4862868534
36	0.4855324207
37	0.4846441718
38	0.4832736718
39	0.4822172408
40	0.4813309942
41	0.4801436083
42	0.4793961335
43	0.4782066394
44	0.4774624551
45	0.4765568884
46	0.4755687491
47	0.4745901182
48	0.4738832308
49	0.4730112854
50	0.4720704357
51	0.4712292453
52	0.4706195729
53	0.4698413186
54	0.469221033
55	0.4686284521
56	0.468081686
57	0.4673080712
58	0.4665754569
59	0.4656967719
60	0.465021113
61	0.4641039714
62	0.4635549999
63	0.4627899016
64	0.4623453799
65	0.4616859509
66	0.4609664081
67	0.4603554146
68	0.4597960988
69	0.4593604854
70	0.4588056885
71	0.458179455
72	0.457462748
73	0.4570014545
74	0.456530848
75	0.4559996292
76	0.4553531335
77	0.4548454484
78	0.4544307603
79	0.4539181688
80	0.4534612214
81	0.4529611623
82	0.4524714308
83	0.4518373075
84	0.4512695144
85	0.450648406
86	0.449980379
87	0.4494131356
88	0.4490477109
89	0.4487321865
90	0.4483203414
91	0.4477602234
92	0.447186586
93	0.4468645597
94	0.4464319447
95	0.4460034452
96	0.4456669916
97	0.4451634735
98	0.4446869986
99	0.4441780843
100	0.4436637901
101	0.4432885046
102	0.4428961681
103	0.4421654177
104	0.4418415554
105	0.4413018638
106	0.4409572161
107	0.4406530807
108	0.4400551095
109	0.4394051658
110	0.438934681
111	0.4386434421
112	0.4382685625
113	0.4378481353
114	0.4374369551
115	0.437110697
116	0.436651706
117	0.4362955464
118	0.4357878345
119	0.4353656244
120	0.4348545319
121	0.434496979
122	0.4341175981
123	0.433749386
124	0.4333198874
125	0.4329676035
126	0.4327526133
127	0.4324347677
128	0.4321504105
129	0.4315473828
130	0.4309693866
131	0.4306829683
132	0.430464127
133	0.4302626514
134	0.4296630717
135	0.4292906696
136	0.4289686853
137	0.4286818364
138	0.4282978173
139	0.4277608268
140	0.4273750476
141	0.4270536473
142	0.4267051104
143	0.4264127224
144	0.4261227631
145	0.425764795
146	0.4254936955
147	0.4252404537
148	0.4250059607
149	0.4247463095
150	0.4244183657
151	0.4239698583
152	0.4232896959
153	0.422870771
154	0.4223301092
155	0.421678346
156	0.4214746394
157	0.4211495119
158	0.4209050368
159	0.4205783206
160	0.4203275171
161	0.4200378831
162	0.4197822399
163	0.4194310007
164	0.4191297938
165	0.4187664315
166	0.4182101862
167	0.4176853298
168	0.4171562613
169	0.4170114385
170	0.4167875144
171	0.4163831123
172	0.416107466
173	0.4159211872
174	0.4156517115
175	0.4154302348
176	0.4151818785
177	0.4148083699
178	0.4142857687
179	0.413923279
180	0.4135611638
181	0.4133758212
182	0.4131253422
183	0.4127444439
184	0.4124369523
185	0.4122404086
186	0.4119735559
187	0.4117235882
188	0.4114660932
189	0.4112630627
190	0.4109648235
191	0.4106011988
192	0.410268975
193	0.4098463328
194	0.4094887083
195	0.4092878415
196	0.4089728832
197	0.4086846102
198	0.4084126344
199	0.4080362898
200	0.4076764444
201	0.4074627755
202	0.4072083551
203	0.4069498159
204	0.4063092066
205	0.4058515176
206	0.4056022165
207	0.4053610183
208	0.4051015542
209	0.4046864568
210	0.4042313127
211	0.403877327
212	0.403432762
213	0.4031127127
214	0.4028609757
215	0.4027172092
216	0.4023706351
217	0.4021338647
218	0.4019729055
219	0.4016551326
220	0.4015154897
221	0.4013361531
222	0.401115107
223	0.4009048144
224	0.400510418
225	0.4003276617
226	0.3998692834
227	0.3994423397
228	0.3991678726
229	0.3988214583
230	0.3985482196
231	0.3984163657
232	0.3981581779
233	0.3979794687
234	0.3975053225
235	0.3972235803
236	0.396926618
237	0.3965840522
238	0.3961712224
239	0.3957674824
240	0.3952892388
241	0.395058075
242	0.3946965612
243	0.3944954673
244	0.3940740569
245	0.393847425
246	0.3936693689
247	0.3934081113
248	0.3931945647
249	0.3928623717
250	0.3924694151
251	0.3921490263
252	0.3918458696
253	0.3915335135
254	0.3913048907
255	0.3909457545
256	0.3906468585
257	0.3903594286
258	0.3901163723
259	0.3899591297
260	0.3897971483
261	0.3896081776
262	0.3893061063
263	0.3890755035
264	0.3889120288
265	0.3886562906
266	0.388456249
267	0.3881939953
268	0.3879053802
269	0.3875937522
270	0.3871537341
271	0.3869140154
272	0.3866342184
273	0.386230363
274	0.3860688057
275	0.3858834683
276	0.3854754624
277	0.3851554439
278	0.3848443092
279	0.3845075126
280	0.3842955992
281	0.3840330011
282	0.3837843485
283	0.3835830359
284	0.3833497091
285	0.3829165078
286	0.3825370385
287	0.3821463246
288	0.3820225875
289	0.3818942434
290	0.3815821265
291	0.381432949
292	0.3812319283
293	0.3808433762
294	0.3806565289
295	0.38044152
296	0.3801749133
297	0.3800611801
298	0.3796617215
299	0.3794012592
