iter	Passed	Remaining
0	4	1275
1	8	1325
2	13	1297
3	18	1355
4	23	1368
5	27	1337
6	31	1328
7	35	1313
8	40	1298
9	44	1281
10	48	1268
11	52	1255
12	56	1248
13	60	1236
14	64	1224
15	68	1219
16	72	1210
17	76	1201
18	81	1200
19	85	1197
20	89	1195
21	94	1193
22	98	1187
23	102	1175
24	106	1169
25	110	1160
26	114	1155
27	117	1146
28	122	1147
29	126	1141
30	131	1137
31	134	1130
32	139	1127
33	143	1120
34	146	1112
35	151	1110
36	155	1107
37	159	1102
38	163	1097
39	168	1092
40	172	1086
41	176	1081
42	180	1080
43	184	1075
44	188	1070
45	193	1066
46	196	1058
47	200	1052
48	204	1047
49	208	1042
50	212	1038
51	217	1035
52	221	1031
53	225	1025
54	229	1020
55	233	1015
56	237	1011
57	241	1006
58	245	1002
59	248	995
60	253	991
61	256	986
62	260	980
63	264	975
64	268	972
65	272	967
66	277	963
67	280	958
68	284	953
69	288	949
70	293	945
71	297	940
72	301	936
73	305	931
74	309	929
75	314	926
76	318	922
77	322	918
78	326	914
79	330	909
80	334	904
81	339	902
82	343	897
83	347	894
84	351	889
85	355	884
86	359	880
87	363	875
88	367	871
89	371	867
90	375	862
91	379	858
92	383	854
93	388	850
94	391	845
95	395	840
96	399	836
97	404	832
98	408	828
99	412	824
100	416	821
101	421	817
102	424	812
103	429	808
104	433	805
105	437	801
106	441	797
107	445	792
108	449	788
109	453	783
110	457	779
111	461	774
112	465	770
113	469	766
114	473	762
115	477	757
116	481	752
117	484	748
118	489	743
119	493	739
120	496	735
121	500	730
122	504	726
123	508	722
124	512	717
125	516	713
126	520	709
127	524	705
128	528	700
129	532	696
130	536	692
131	540	688
132	544	684
133	549	680
134	553	676
135	557	672
136	561	667
137	565	663
138	569	659
139	573	655
140	577	650
141	581	646
142	585	642
143	589	638
144	593	634
145	597	630
146	601	626
147	605	621
148	609	618
149	614	614
150	618	609
151	622	606
152	626	602
153	630	597
154	634	593
155	638	589
156	642	585
157	646	580
158	650	576
159	654	572
160	658	568
161	662	564
162	666	559
163	670	555
164	674	551
165	678	547
166	683	543
167	687	539
168	691	535
169	695	531
170	699	527
171	703	523
172	707	519
173	711	515
174	715	511
175	719	507
176	723	503
177	727	498
178	732	494
179	736	490
180	739	486
181	743	482
182	748	478
183	751	474
184	756	469
185	760	465
186	763	461
187	767	457
188	771	453
189	775	449
190	779	444
191	783	440
192	788	437
193	792	432
194	795	428
195	800	424
196	803	420
197	807	416
198	812	412
199	816	408
200	820	404
201	824	400
202	828	395
203	832	391
204	836	387
205	841	383
206	845	380
207	849	375
208	853	371
209	857	367
210	861	363
211	865	359
212	869	355
213	873	351
214	877	347
215	882	343
216	886	339
217	890	334
218	894	330
219	898	326
220	902	322
221	906	318
222	910	314
223	915	310
224	919	306
225	923	302
226	927	298
227	931	294
228	935	290
229	939	286
230	944	282
231	949	278
232	953	274
233	957	270
234	961	266
235	966	261
236	970	257
237	974	253
238	978	249
239	982	245
240	986	241
241	990	237
242	994	233
243	998	229
244	1002	225
245	1006	220
246	1010	216
247	1014	212
248	1019	208
249	1023	204
250	1028	200
251	1032	196
252	1036	192
253	1040	188
254	1044	184
255	1048	180
256	1052	176
257	1056	171
258	1060	167
259	1064	163
260	1068	159
261	1072	155
262	1076	151
263	1080	147
264	1084	143
265	1088	139
266	1092	135
267	1096	130
268	1100	126
269	1105	122
270	1109	118
271	1112	114
272	1116	110
273	1121	106
274	1125	102
275	1129	98
276	1133	94
277	1137	89
278	1141	85
279	1145	81
280	1149	77
281	1153	73
282	1157	69
283	1161	65
284	1165	61
285	1169	57
286	1173	53
287	1177	49
288	1181	44
289	1186	40
290	1190	36
291	1193	32
292	1197	28
293	1202	24
294	1206	20
295	1209	16
296	1213	12
297	1217	8
298	1221	4
299	1225	0
